time,device_id,lat,lng,speed,direction
2026-04-28 20:50:05,014084725763,34.253538,108.994789,41.9,30
2026-04-28 20:50:06,014084725763,34.253534,108.994804,41.9,48
2026-04-28 20:50:07,014084725763,34.253534,108.994820,41.8,33
2026-04-28 20:50:08,014084725763,34.253535,108.994835,41.9,67
2026-04-28 20:50:09,014084725763,34.253528,108.994850,41.8,42
2026-04-28 20:50:09,014084725763,34.253528,108.994850,41.8,42
2026-04-28 20:50:10,014084725763,34.253524,108.994866,41.8,91
2026-04-28 20:50:10,014084725763,34.253524,108.994889,41.9,56
2026-04-28 20:50:12,014084725763,34.253528,108.994905,41.9,44
2026-04-28 20:50:13,014084725763,34.253528,108.994920,41.9,28
2026-04-28 20:50:14,014084725763,34.253528,108.994920,41.9,28
2026-04-28 20:50:14,014084725763,34.253528,108.994935,41.8,38
2026-04-28 20:50:15,014084725763,34.253528,108.994935,41.8,38
2026-04-28 20:50:15,014084725763,34.253528,108.994935,41.8,38
2026-04-28 20:50:15,014084725763,34.253528,108.994950,41.9,28
2026-04-28 20:50:16,014084725763,34.253532,108.994966,41.8,32
2026-04-28 20:50:17,014084725763,34.253539,108.994981,41.8,33
2026-04-28 20:50:18,014084725763,34.253535,108.994996,41.8,36
2026-04-28 20:50:19,014084725763,34.253528,108.995019,41.8,51
2026-04-28 20:50:20,014084725763,34.253528,108.995019,41.8,51
2026-04-28 20:50:21,014084725763,34.253512,108.995034,41.7,30
2026-04-28 20:50:22,014084725763,34.253501,108.995050,41.7,31
2026-04-28 20:50:24,014084725763,34.253497,108.995065,41.7,51
2026-04-28 20:50:25,014084725763,34.253497,108.995080,41.6,59
2026-04-28 20:50:27,014084725763,34.253497,108.995111,41.6,39
2026-04-28 20:50:28,014084725763,34.253493,108.995135,41.7,49
2026-04-28 20:50:29,014084725763,34.253493,108.995150,41.6,51
2026-04-28 20:50:30,014084725763,34.253497,108.995165,41.5,63
2026-04-28 20:50:30,014084725763,34.253497,108.995165,41.5,63
2026-04-28 20:50:31,014084725763,34.253497,108.995165,41.5,28
2026-04-28 20:50:33,014084725763,34.253487,108.995196,41.5,45
2026-04-28 20:50:34,014084725763,34.253487,108.995211,41.5,42
2026-04-28 20:50:35,014084725763,34.253483,108.995226,41.4,64
2026-04-28 20:50:36,014084725763,34.253483,108.995226,41.4,64
2026-04-28 20:50:37,014084725763,34.253479,108.995241,41.4,52
2026-04-28 20:50:38,014084725763,34.253479,108.995241,41.4,52
2026-04-28 20:50:38,014084725763,34.253475,108.995264,41.5,38
2026-04-28 20:50:38,014084725763,34.253472,108.995264,41.5,59
2026-04-28 20:50:43,014084725763,34.253472,108.995264,41.5,59
2026-04-28 20:50:43,014084725763,34.253468,108.995280,41.5,39
2026-04-28 20:50:44,014084725763,34.253464,108.995310,41.5,42
2026-04-28 20:50:44,014084725763,34.253452,108.995341,41.4,42
2026-04-28 20:50:46,014084725763,34.253449,108.995357,41.5,33
2026-04-28 20:50:47,014084725763,34.253456,108.995410,41.5,45
2026-04-28 20:50:48,014084725763,34.253460,108.995425,41.6,41
2026-04-28 20:50:49,014084725763,34.253468,108.995425,41.4,58
2026-04-28 20:50:50,014084725763,34.253468,108.995456,41.5,38
2026-04-28 20:50:51,014084725763,34.253472,108.995471,41.5,38
2026-04-28 20:50:51,014084725763,34.253472,108.995471,41.5,38
